Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Customer_Segment,Calculated Profit,Year,Month,Quarter,Weekday,Profit Margin,OrderMonth
ORD00001,2023-10-01,CUST0459,Customer_273,South,Karnataka,Bengaluru,Furniture,Cabinet,7,902.19,6315.33,5340.86,974.47,Corporate,974.4700000000003,2023,10,4,Sunday,15.430230882630044,2023-10
ORD00002,2025-11-01,CUST0857,Customer_44,South,Karnataka,Bengaluru,Electronics,Headphones,6,90.39,542.34,383.4,158.94,Corporate,158.94000000000005,2025,11,4,Saturday,29.306339196813802,2025-11
ORD00003,2023-12-30,CUST0415,Customer_687,South,Tamil Nadu,Chennai,Electronics,Laptop,8,60.55,484.4,433.55,50.85,Corporate,50.849999999999966,2023,12,4,Saturday,10.497522708505368,2023-12
ORD00004,2025-07-05,CUST0976,Customer_669,East,Bihar,Patna,Furniture,Table,6,415.48,2492.88,2129.48,363.4,Consumer,363.4000000000001,2025,7,3,Saturday,14.577516767754565,2025-07
ORD00005,2023-06-24,CUST0439,Customer_175,East,Bihar,Patna,Furniture,Cabinet,5,908.49,4542.45,2734.9,1807.55,Home Office,1807.5499999999997,2023,6,2,Saturday,39.792402778236415,2023-06
ORD00006,2024-10-27,CUST0667,Customer_697,West,Gujarat,Ahmedabad,Electronics,Headphones,9,993.25,8939.25,5723.37,3215.88,Consumer,3215.88,2024,10,4,Sunday,35.974830103196574,2024-10
ORD00007,2025-08-28,CUST0859,Customer_762,East,Bihar,Patna,Clothing,T-Shirt,1,973.14,973.14,625.34,347.8,Consumer,347.79999999999995,2025,8,3,Thursday,35.7399757486076,2025-08
ORD00008,2025-07-20,CUST0379,Customer_71,North,Haryana,Gurugram,Furniture,Desk,1,1451.87,1451.87,1016.57,435.3,Corporate,435.29999999999984,2025,7,3,Sunday,29.98202318389388,2025-07
ORD00009,2023-01-19,CUST0447,Customer_412,West,Rajasthan,Jaipur,Clothing,Dress,3,586.9,1760.7,1282.08,478.62,Home Office,478.6200000000001,2023,1,1,Thursday,27.18350655989095,2023-01
ORD00010,2023-11-22,CUST0476,Customer_822,East,West Bengal,Kolkata,Furniture,Table,2,727.02,1454.04,935.76,518.28,Corporate,518.28,2023,11,4,Wednesday,35.64413633737723,2023-11
